Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,India,IND,2.601,2.534,2.475,2.425,2.384,2.352,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Iran, Islamic Rep.",IRN,1.765,1.755,1.742,1.727,1.708,1.686,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Italy,ITA,1.46,1.44,1.43,1.39,1.37,1.37,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,United Kingdom,GBR,1.92,1.91,1.92,1.83,1.81,1.81,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Romania,ROU,1.59,1.47,1.52,1.41,1.52,1.52,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,China,CHN,1.59,1.594,1.599,1.604,1.61,1.617,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Thailand,THA,1.547,1.542,1.534,1.524,1.512,1.498,..
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,India,IND,4404.69700530387,4635.87913658849,4827.5596557662,5073.60548933396,5389.90438446687,5754.06459681291,6092.64809658481
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,"Iran, Islamic Rep.",IRN,17443.6354775325,17876.1887970862,16484.7417177128,15964.6074375353,16450.721364066,16010.1114418437,..
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Italy,ITA,36201.1618463726,36347.3433507735,35227.6237320624,34219.8329238077,33945.8434460471,34244.7100415304,34620.1293633715
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,United Kingdom,GBR,36195.8690943213,36456.0021582619,36678.7543552468,37130.2802417558,37983.1331850652,38509.2141550924,38901.0467584745
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Romania,ROU,17817.9695126628,18094.9642233329,18292.198575578,19008.6590964184,19666.9527029716,20537.8825189945,21647.8089324482
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,China,CHN,9525.81914199736,10384.367316917,11145.752346104,11951.2487854677,12758.6486713903,13569.8924658172,14400.8860587191
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Thailand,THA,13486.5624149548,13535.1332681194,14448.329351157,14777.9782878173,14853.4645255668,15236.7064646295,15681.814091407
"Compulsory education, duration (years)",SE.COM.DURS,India,IND,8,8,8,8,8,8,8
"Compulsory education, duration (years)",SE.COM.DURS,"Iran, Islamic Rep.",IRN,8,8,8,8,8,8,8
"Compulsory education, duration (years)",SE.COM.DURS,Italy,ITA,12,12,12,12,12,12,12
"Compulsory education, duration (years)",SE.COM.DURS,United Kingdom,GBR,11,11,11,11,11,11,11
"Compulsory education, duration (years)",SE.COM.DURS,Romania,ROU,10,10,10,10,10,10,10
"Compulsory education, duration (years)",SE.COM.DURS,China,CHN,9,9,9,9,9,9,9
"Compulsory education, duration (years)",SE.COM.DURS,Thailand,THA,9,9,9,9,9,9,9
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,India,IND,11.7427797317505,13.6765203475952,14.0626802444458,14.0909595489502,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,"Iran, Islamic Rep.",IRN,18.804349899292,19.1266994476318,17.3956203460693,21.6739101409912,19.6648597717285,18.5687503814697,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Italy,ITA,8.72395038604736,8.43229007720947,..,8.15977001190186,8.00615978240967,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,United Kingdom,GBR,12.9524803161621,12.7011404037476,..,12.9258003234863,13.659839630127,13.8802404403687,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Romania,ROU,9.12913036346436,8.33493041992188,8.43579006195068,..,9.23571968078613,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,China,CHN,..,..,..,..,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Thailand,THA,16.222620010376,22.6302394866943,21.3967990875244,18.860200881958,..,..,..
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,
Last Updated: 11/21/2017,,,,,,,,,,
